gene_symbol,target_groups,requested,matched_probe_features,matched,annotation_versions,method,raw_probe_features_with_sequence,source_raw_agilent_file
BCL2,survival,yes,4,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
BCL2L1,survival,yes,8,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
MCL1,survival,yes,6,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ABCC1,drug_efflux,yes,2,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ABCB1,drug_efflux,yes,16,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ABCG2,drug_efflux,yes,4,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ABCB6,drug_efflux,yes,4,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
POSTN,ecm_integrin_bridge,yes,2,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
COL6A3,ecm_integrin_bridge,yes,4,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
COL6A2,ecm_integrin_bridge,yes,6,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
