package_path,source_path,deposit_group,file_type,size_bytes,sha256,status,notes
TMEM158_CaUPR_ESCC/03_scripts/Python/build_submission_system_fields_pack.py,03_scripts/Python/build_submission_system_fields_pack.py,code,py,34995,d2b13c6406b76fb664d8fbf72720d40e5fde5f1011bc95fe6d38c76279f46b38,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_target_journal_live_policy_refresh.py,03_scripts/Python/build_target_journal_live_policy_refresh.py,code,py,12900,49e06d1555f09348a2805fd28af6c216d9d809c525ff779b468b6b13d36e4f69,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_tmem158_gse53625_probe_map.py,03_scripts/Python/build_tmem158_gse53625_probe_map.py,code,py,11081,f517d5b6a0386438e76e4fbec94d89f34e45b783e33dc381198df5c3f749b0f0,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_tmem158_lr_compartment_expression_audit.py,03_scripts/Python/build_tmem158_lr_compartment_expression_audit.py,code,py,18970,2df377586f797302d80f12658641f9eb5dbbf3a1b2f7337553f85ee7a0afe703,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_tmem158_protein_topology_claim_audit.py,03_scripts/Python/build_tmem158_protein_topology_claim_audit.py,code,py,16860,6753e7cd4b500b85a95e552108d7486d090baa61d08b125c2dc35d63df1283ee,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_tmem158_structural_followup_prioritization.py,03_scripts/Python/build_tmem158_structural_followup_prioritization.py,code,py,22321,fcb44d0d6b191272087fe64dffaca1504daa4c3eed4050b54b3826bfeeb4793c,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_tmem158_submission_readiness_package.py,03_scripts/Python/build_tmem158_submission_readiness_package.py,code,py,31606,188e36b3933078b51b9803a12a4b3855adeb1130a93b44577fafd6b00e5d5fbd,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/download_missing_fulltexts.py,03_scripts/Python/download_missing_fulltexts.py,code,py,1919,29d10062c535be281389b00c51134b4362f7db55e6fdec1e0697541c6810dc5a,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/download_tmem158_cbioportal_inputs.py,03_scripts/Python/download_tmem158_cbioportal_inputs.py,code,py,9466,69f98ac7db223e721b22987d3757572010d279794fd056143b3a6a3bf1a21b66,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/download_tmem158_protein_context.py,03_scripts/Python/download_tmem158_protein_context.py,code,py,15511,1abd704b0a1aff350829aa4a79fbc41e49ffd24fb114ee749a2ed5ea0fafce67,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/extract_natcomm2023_spatial_source_data.py,03_scripts/Python/extract_natcomm2023_spatial_source_data.py,code,py,6997,00bd83363d4ab21450e6a7720efa2c7b9056178c0b99860b512d9d020b39226c,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/extract_tac_high_caf_epi_lr_gse160269.py,03_scripts/Python/extract_tac_high_caf_epi_lr_gse160269.py,code,py,9570,36828307d829e3521221060693c5e482c1820285ebb4b852ed71a3eb08ffa2d6,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/extract_tac_high_scrna_signature_gse160269.py,03_scripts/Python/extract_tac_high_scrna_signature_gse160269.py,code,py,11415,a07ee61581370bd6bf98b5c20adeed0f9ba6db9dd0a56a2ecd7e6822e5e4300b,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/extract_tmem158_gse221561_tac_targets.py,03_scripts/Python/extract_tmem158_gse221561_tac_targets.py,code,py,19117,f50944062672196e7dee293de5f60ad528904ed9a2f1f098c604d5573bb04f2d,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/finalize_tmem158_literature_gate.py,03_scripts/Python/finalize_tmem158_literature_gate.py,code,py,15791,7a5a17463a673aa7b479ed522c9ba48f86b390e727713066c61278fef274771f,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/query_tmem158_duplication_gate_vm.py,03_scripts/Python/query_tmem158_duplication_gate_vm.py,code,py,17767,4205316d542ab2b9c135f60563d590a1dbbcda22c5cc300ee5843aae392191e2,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/render_scientific_reports_docx_qa.py,03_scripts/Python/render_scientific_reports_docx_qa.py,code,py,12885,4688cd0032282c1797319aec11bd4ce4a492d427702df0552c4bf9fe2f49ec2c,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/run_claim_boundary_text_audit.py,03_scripts/Python/run_claim_boundary_text_audit.py,code,py,26418,79754bc10223343b75a3c4770c1d92588f786c8c3df2b129b154d8281857d4f6,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/run_manuscript_numeric_consistency_audit.py,03_scripts/Python/run_manuscript_numeric_consistency_audit.py,code,py,42889,1172bb41134b25f2b380b69b11b9a5edc8f52e50df4db8ac6d01e0ca15fa5c44,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/run_scientific_reports_citation_coverage_audit.py,03_scripts/Python/run_scientific_reports_citation_coverage_audit.py,code,py,25649,ddd3d2c884b0084201cb6f9e010171107617ef92d0d367e1d25987e6c51e1a05,ready,Copied into standalone repository-release package.
