"model","gene_set","n_present","mean_z_in_set","mean_z_background","delta_mean_z","median_z_in_set","direction","p.value","leading_genes","FDR"
"Core_CAF_interaction","REACTOME_TRANSPORT_OF_RCBL_WITHIN_THE_BODY",8,-0.230210984532537,0.112346984842841,-0.342557969375377,-0.209893537587178,"negative",0.121654464759815,"LMBRD1;ABCD4;CD320;ABCC1;LDLRAP1;LRP2;TCN2;TCN1",0.218978036567668
"Core_CAF_interaction","REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES",18,0.40344915154464,0.111701433738194,0.291747717806446,0.633994838742931,"positive",0.122484262168456,"MAFK;TXNRD1;NQO1;GSR;EP300;TXN;SLC7A11;HMOX1;ATF4;NFE2L2",0.220207949807642
"Core_CAF_interaction","REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS",12,0.466023927425439,0.111782254323275,0.354241673102165,0.590474928121007,"positive",0.122875060076639,"CHRNA5;CHRNA4;CHRNA1;CHRNA3;CHRND;CHRNB3;CHRNE;CHRNA2;CHRNG;CHRNB4",0.2206466132559
"Core_CAF_interaction","REACTOME_SIGNALING_BY_ERBB2_IN_CANCER",24,0.401734505141419,0.111563093272578,0.290171411868841,0.456388309098969,"positive",0.123197456684089,"HSP90AA1;HBEGF;GAB1;CDC37;HRAS;SHC1;NRG1;GRB2;ERBIN;SOS1",0.220961548205472
"Core_CAF_interaction","REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION",19,-0.228628191364716,0.112649392786611,-0.341277584151326,0.0743803819929601,"negative",0.123405823496416,"CALM1;GRIN1;GRIN2B;GRIN2D;DLG1;DLG3;CAMK2G;DLG4;NEFL;GRIN2A",0.221071457348168
"Core_CAF_interaction","REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS",23,-0.136549189533126,0.112588479401038,-0.249137668934164,-0.401824699697863,"negative",0.124013315701144,"ADAMTS12;ADAMTS7;ADAMTS5;SEMA5A;ADAMTS6;ADAMTS9;ADAMTSL2;POFUT2;ADAMTS2;SBSPON",0.221895254165261
"Core_CAF_interaction","REACTOME_DEPOLYMERIZATION_OF_THE_NUCLEAR_LAMINA",12,0.394896644404194,0.111851265270579,0.283045379133615,0.538416670020344,"positive",0.124626038018044,"PRKCA;LEMD3;LMNA;LPIN2;CTDNEP1;CDK1;CCNB1;LMNB1;LPIN1;TMPO",0.222605802378771
"Core_CAF_interaction","REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT",27,0.328525197126411,0.111652637276528,0.216872559849883,0.56537475643527,"positive",0.124706643781055,"COL1A1;SMAD6;CBFB;RBM14;RB1;YAP1;IHH;SATB2;SMAD1;ABL1",0.222605802378771
"Core_CAF_interaction","REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",46,0.26958267007861,0.111538382177376,0.158044287901234,0.390837086315039,"positive",0.125065718058018,"CDKN2D;ANAPC10;IL6;UBE2D1;JUN;RELA;UBB;CDC27;CCNA2;CDKN1A",0.222739138350623
"Core_CAF_interaction","REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES",10,0.404153782336855,0.111889544929345,0.29226423740751,0.536785275247322,"positive",0.125077733045859,"DTX4;XRCC5;PRKDC;TBK1;DDX41;XRCC6;TRIM21;IRF3;STAT6;IFI16",0.222739138350623
