"model","gene","n_datasets","combined_z","meta_p","mean_logFC","median_logFC","positive_nominal","negative_nominal","positive_fdr","negative_fdr","sign_consistency","meta_FDR"
"Core_CAF_interaction","LINC01260",3,0.337055739647754,0.736074881751838,0.243528335874331,0,0,0,0,0,0.333333333333333,0.965586219999819
"Core_CAF_interaction","NUP54",3,-0.337050648755536,0.736078719398472,-0.1839673942129,-0.0217409692642462,0,0,0,0,1,0.965586219999819
"Core_CAF_interaction","SLC33A1",3,-0.336830985500767,0.736244313529721,-0.398756996687708,-0.419035180903421,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","ATPAF2",3,0.336771407405115,0.736289228857308,-0.0835748827013844,-0.0410463079250164,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","JARID2",3,-0.336692780715043,0.736348506108244,-0.204421841156733,-0.20026557080136,0,0,0,0,1,0.965586219999819
"Core_CAF_interaction","PIKFYVE",3,0.336680260712453,0.736357945176875,0.0339033448732435,0.0216558509958096,0,0,0,0,1,0.965586219999819
"Core_CAF_interaction","CDH8",3,-0.33661210936523,0.736409326474493,-0.427141964270859,-0.0395461698872566,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","SACS",3,-0.336574903509836,0.736437377556486,0.141936021562645,0.192641723949114,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","TTF1",3,0.336327214863183,0.736624129547968,-0.3045765183837,0.101788082037517,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","TEX28",3,0.336279411259914,0.736660174243356,0.0550090622294307,0.0438803937257934,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","NPY5R",3,0.336212346763668,0.73671074294238,0.298954597819131,0.0641678140878669,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","SCTR",3,0.335772180012395,0.737042670543077,0.583793095824096,0.95612041168709,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","ZNF232",3,0.335744897231888,0.737063245970119,0.428124027423838,0.654508672689445,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","ANP32C",3,0.335727754576674,0.737076174274186,0.0167864293571656,0.108439597182995,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","EMG1",3,0.335677589345649,0.737114007309951,-0.074498297613889,-0.0028569393483289,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","PBOV1",3,0.335529344932245,0.737225812295871,0.0679709400326002,0.0478791697737976,0,0,0,0,1,0.965586219999819
"Core_CAF_interaction","ANKFY1",3,-0.335407812616591,0.737317475337561,0.0124127731410614,-0.0602718273040354,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","CNOT3",3,-0.335314072732677,0.737388179109316,-0.108717725071154,-0.00850627384691211,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","PNMA1",3,0.335257473395347,0.737430870515926,0.248667122058436,0.0418535346938158,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","BIK",3,0.335187746359747,0.737483464917276,-0.418394865503868,-0.56626523110708,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","GPX3",3,-0.335146201241985,0.737514802565983,0.561902078989792,0.479802921239671,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","GYPB",3,0.335035186051306,0.73759854390958,0.204652072560083,-0.018416729655799,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","MRAS",3,-0.334969503541503,0.737648091222948,0.343462618616484,0.386389436504618,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","CHRM3",3,0.33494634641149,0.737665559962402,-0.141377308706556,-0.0904000973016358,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","DCK",3,0.334764691745069,0.737802597102435,-0.0281672231426357,0.0544394157137178,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","UGT2B15",3,0.33452138755805,0.737986154630371,0.128209820290504,0.105435636968081,0,0,0,0,1,0.965586219999819
"Core_CAF_interaction","EIF4H",3,0.334494333637481,0.73800656601521,0.145417228699586,-0.0172487457018353,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","ARF6",3,-0.334461095585473,0.738031643397626,-0.218880059356389,-0.158293856594895,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","RAB5A",3,0.334459826153376,0.738032601161873,0.166283166770099,0.222907136805549,0,0,0,0,1,0.965586219999819
"Core_CAF_interaction","FRAT1",3,0.334406425018748,0.738072891749458,-0.0145407504288731,0.0335131932640019,0,0,0,0,0.666666666666667,0.965586219999819
"Core_CAF_interaction","MAGEL2",3,0.33403950398341,0.738349749215217,0.279244445571503,0.0556833439426231,0,0,0,0,0.666666666666667,0.965777623909812
"Core_CAF_interaction","SPCS3",3,-0.334005751066108,0.738375218926201,-0.21351296496736,-0.286455451158423,0,0,0,0,0.666666666666667,0.965777623909812
"Core_CAF_interaction","MOB3B",3,-0.333525536625981,0.738737616413526,-0.227271560436685,-0.203087996483519,0,0,0,0,1,0.966037674221033
"Core_CAF_interaction","CHD2",3,-0.333455142280703,0.738790744922753,-0.246933547912257,-0.230569475618731,0,0,0,0,0.666666666666667,0.966037674221033
"Core_CAF_interaction","RDH11",3,0.333293532666976,0.738912720770659,-0.122868414431588,0.0302401349553072,0,0,0,0,0.666666666666667,0.966037674221033
"Core_CAF_interaction","CENPQ",3,-0.333167719853128,0.739007683312705,0.229735868979743,0.00586722208021812,0,0,0,0,0.666666666666667,0.966037674221033
"Core_CAF_interaction","C5",3,-0.333092856764231,0.739064191284199,0.226573654093328,-0.145250014137962,0,0,0,0,0.666666666666667,0.966037674221033
"Core_CAF_interaction","MYRF",3,0.333026841599417,0.739114021856694,-0.381620812497414,-0.862983265536944,0,0,0,0,0.666666666666667,0.966037674221033
"Core_CAF_interaction","MED15",3,0.332981481984307,0.739148261527452,-0.129953688032357,0.0157837082095173,0,0,0,0,0.666666666666667,0.966037674221033
"Core_CAF_interaction","BRD7",3,0.332813685173428,0.739274927316328,-0.140517167752446,-0.247846404280534,0,0,0,0,0.666666666666667,0.966037674221033
"Core_CAF_interaction","FAM215A",3,-0.332811831323473,0.73927632678272,0.266923909031207,-0.137382590304461,0,0,0,0,0.666666666666667,0.966037674221033
"Core_CAF_interaction","CELA3B",3,-0.332498407712714,0.739512941841,-0.262737452902972,-0.0513827572633585,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","LY6E",3,-0.332381555880352,0.739601163916277,0.100054501125354,0.0963049672683585,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","MKRN7P",3,-0.332356246909332,0.739620272411699,-0.174772392401999,-0.121346360783749,0,0,0,0,1,0.966098610677207
"Core_CAF_interaction","MATN3",3,0.332149153872992,0.739776635510722,0.0281498262644529,0.101764168032378,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","HSPE1-MOB4",3,-0.331946568211058,0.739929605778432,-0.216002553388253,-0.0610743501647566,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","DCAF11",3,0.331760861351589,0.740069840080256,-0.28654415350182,-0.175722697305259,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","ADNP2",3,-0.331658943296497,0.740146805946364,-0.514114015378805,0.0537359833313204,0,1,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","TNS4",3,-0.331612275199797,0.740182049348408,-0.200527648507545,-0.144909043384482,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","TSTD2",3,-0.331514489549478,0.740255898118171,-0.247360203169931,-0.0288523730401875,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","VANGL1",3,-0.331462553091145,0.740295122060875,0.422849840925428,-0.171850480235624,1,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","IL26",3,0.331459795427851,0.74029720474828,0.0687443391436879,0.205296056272892,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","ZNF493",3,0.331172847751383,0.740513928450155,0.0789318098059323,0.0959525165906855,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","RPF1",3,0.331148710533566,0.740532159567412,0.1368931748877,0.0513411640032821,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","CCDC85B",3,-0.330861383955147,0.740749191814454,-0.200116189423853,0.0147944825825595,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","TXNDC9",3,0.330849487450464,0.740758178289016,0.129390289069757,0.0374970215106213,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","MIR4746",3,-0.330818150125162,0.740781850291694,-0.163631894855392,-0.0555005125661755,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","RFX7",3,0.330677195226611,0.740888329698795,-0.0472541351592872,0.0554043398930443,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","SRM",3,-0.330668890137908,0.740894603640013,0.0207773336988256,0.000787970378022167,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","TUBA1A",3,-0.330649294101025,0.740909407208648,0.468631915114755,-0.0972572791968467,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","SMPX",3,-0.330615861889037,0.740934663355417,0.111159544006972,0.133712847210837,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","HOXC6",3,-0.330438958070265,0.741068308839105,0.564226320475935,0.337304994363481,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","CYP2R1",3,0.330356294306245,0.74113076149073,0.122919196705169,0.00648765652858748,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","MATN1",3,0.330315950055793,0.741161242278109,-0.0723575677748585,0.192031033631533,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","AK1",3,-0.330155127443919,0.741282750612816,-0.305845884895116,-0.165998330081024,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","ABAT",3,0.330137627721915,0.741295972787591,0.223306535260796,0.172251205654944,0,0,0,0,0.666666666666667,0.966098610677207
"Core_CAF_interaction","FADS3",3,-0.329981252096478,0.741414128103782,0.246873697577279,-0.13931994872057,0,0,0,0,0.666666666666667,0.966098610677207
