"model","gene_set","n_present","mean_z_in_set","mean_z_background","delta_mean_z","median_z_in_set","direction","p.value","leading_genes","FDR"
"TAC_high_adjusted_for_CAF","REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS",9,2.28177894715641,0.562131768080399,1.71964717907601,2.44920551170192,"positive",0.000550038076557702,"NCBP2;SNRPD3;SNRPB;SNRPG;SNRPE;SNRPF;NCBP1;SLBP;ZNF473",0.00208625553280219
"TAC_high_adjusted_for_CAF","REACTOME_RAS_PROCESSING",20,1.79115598514099,0.561395226031087,1.2297607591099,1.70542046990097,"positive",0.000556137672567372,"ABHD17B;UBC;HRAS;LYPLA1;CALM1;RCE1;ABHD17A;RPS27A;GOLGA7;FNTA",0.0021040775420559
"TAC_high_adjusted_for_CAF","REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION",32,1.51418059755579,0.560917908513546,0.953262689042243,1.62835912563087,"positive",0.00058325216466709,"POLR2F;NCBP2;GTF2F1;POLR2E;FGFR2;GTF2F2;POLR2C;POLR2H;POLR2D;NCBP1",0.00220111746565319
"TAC_high_adjusted_for_CAF","REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH",40,1.36273807094219,0.560790809611783,0.801947261330404,1.32512988766507,"positive",0.000595770080896675,"CDK5R1;YWHAE;LMNA;C1QBP;CAPNS1;GOLGA2;PRDX1;RBBP7;CAPN1;JUN",0.00224272346242307
"TAC_high_adjusted_for_CAF","REACTOME_RHOBTB2_GTPASE_CYCLE",20,1.82347492563785,0.561342930010865,1.26213199562698,1.54146440384077,"positive",0.000598709947480395,"ACTG1;HSP90AA1;TRA2B;HNRNPC;CCT2;CCT7;CCT6A;TXNL1;TWF1;CUL3",0.00224815585278888
"TAC_high_adjusted_for_CAF","REACTOME_SIGNALING_BY_FGFR_IN_DISEASE",60,1.27984502139286,0.559892647091194,0.71995237430167,1.54696184048898,"positive",0.000613230286796536,"CUX1;HRAS;POLR2F;NCBP2;GTF2F1;PIK3CA;POLR2E;FGFR2;GTF2F2;POLR2C",0.00229693738346234
"TAC_high_adjusted_for_CAF","REACTOME_PROSTANOID_LIGAND_RECEPTORS",9,-1.23826285358209,0.564692626233069,-1.80295547981516,-1.00527267086734,"negative",0.000621361557112201,"PTGER4;PTGDR2;PTGER3;PTGER1;PTGDR;PTGIR;PTGER2;TBXA2R;PTGFR",0.00231527053240156
"TAC_high_adjusted_for_CAF","REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS",26,1.58174794401041,0.561238681148032,1.02050926286238,1.66583428678991,"positive",0.000622156940138525,"ABCC1;SPTSSA;CSNK1G2;SPHK1;CERS6;DEGS1;ORMDL2;SPTLC1;OSBP;PRKD2",0.00231527053240156
"TAC_high_adjusted_for_CAF","REACTOME_SARS_COV_2_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS",11,2.11754434144638,0.561999767619951,1.55554457382643,2.0705709653431,"positive",0.000623084787856985,"YWHAZ;YWHAE;YWHAQ;AKT1;SFN;YWHAH;CAV1;AKT2;AKT3;PDPK1",0.00231527053240156
"TAC_high_adjusted_for_CAF","REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE",15,1.94699404159908,0.561703453523904,1.38529058807518,1.651989306911,"positive",0.000624290656206813,"PMAIP1;BID;PPP1R13B;TP63;TP53BP2;BAX;STEAP3;BNIP3L;CREBBP;TP53AIP1",0.00231527053240156
