"model","gene","n_datasets","combined_z","meta_p","mean_logFC","median_logFC","positive_nominal","negative_nominal","positive_fdr","negative_fdr","sign_consistency","meta_FDR"
"TAC_high_adjusted_for_CAF","IGFBP4",4,-1.11528706501052,0.264727426590517,-0.395639432869651,-0.415476653229812,0,0,0,0,1,0.470947771402586
"TAC_high_adjusted_for_CAF","CHTOP",4,1.11485792301586,0.264911310231171,-0.0993596631843041,-0.123040815809809,0,0,0,0,0.75,0.471084885336254
"TAC_high_adjusted_for_CAF","CH25H",4,1.11484604110652,0.26491640277867,-0.011494467270413,0.103039445930176,0,0,0,0,0.5,0.471084885336254
"TAC_high_adjusted_for_CAF","DYNLRB1",4,1.11482875843788,0.264923810194371,0.0696608687232658,0.0802704541811071,0,0,0,0,0.75,0.471084885336254
"TAC_high_adjusted_for_CAF","PFDN5",4,-1.11475200451622,0.264956708933468,-0.226573808809463,-0.276045825193497,0,0,0,0,1,0.471084885336254
"TAC_high_adjusted_for_CAF","PI3",4,1.11458036336812,0.265030289006776,0.201142585365665,0.361339388866588,0,0,0,0,0.75,0.471148043926463
"TAC_high_adjusted_for_CAF","BLCAP",4,1.11414798217125,0.2652157069619,-0.196593805091351,-0.035072377835467,0,0,0,0,0.5,0.471409971599185
"TAC_high_adjusted_for_CAF","EIF2S3",4,1.11388707836127,0.265327633518821,-0.106803444736922,0.00580201696070705,0,0,0,0,0.5,0.471541214895636
"TAC_high_adjusted_for_CAF","IFT20",4,1.11376328102039,0.265380753399714,0.166569486491813,0.0789542948297729,0,0,0,0,0.75,0.471555755514562
"TAC_high_adjusted_for_CAF","NBEA",4,-1.11369047839355,0.265411995510943,-0.771504632562786,-0.782637017791394,0,0,0,0,1,0.471555755514562
"TAC_high_adjusted_for_CAF","KALRN",4,-1.11359858179505,0.265451435119055,0.0680422799049725,0.0429576213116792,0,0,0,0,0.5,0.471558152787186
"TAC_high_adjusted_for_CAF","TENM1",4,-1.11347558356146,0.265504229049186,-0.673647836632876,-0.409354832479063,0,0,0,0,1,0.471584269100275
"TAC_high_adjusted_for_CAF","RSF1",4,1.11310938756443,0.265661452377914,-0.0489471189032013,0.0307305013265337,0,0,0,0,0.75,0.471757873550339
"TAC_high_adjusted_for_CAF","PMS2P2",4,1.11307043039573,0.265678182099593,0.0225133301661489,-0.0337255094417986,0,0,0,0,0.5,0.471757873550339
"TAC_high_adjusted_for_CAF","SLURP1",4,1.11281777405379,0.265786700157749,0.278911442318522,0.17512665061742,0,0,0,0,0.5,0.4718828836875
"TAC_high_adjusted_for_CAF","CTH",4,-1.11259871622772,0.265880812064294,0.166011976982695,-0.0154660538503389,0,0,0,0,0.5,0.471982284679662
"TAC_high_adjusted_for_CAF","FRS3",4,-1.11247980323717,0.26593190922331,-0.326531541763825,-0.145423904973147,0,1,0,0,0.75,0.47200530984725
"TAC_high_adjusted_for_CAF","HMOX1",4,1.11234291645848,0.265990738126326,0.700894964628938,0.887080932156092,0,0,0,0,0.75,0.472042049599186
"TAC_high_adjusted_for_CAF","ANAPC15",4,1.11192831454471,0.266168973437717,-0.24717816809726,-0.27993325507993,0,0,0,0,0.75,0.472272277246929
"TAC_high_adjusted_for_CAF","NGFR",4,1.11186368446304,0.266196764994271,-0.254516661255505,0.161477537452191,0,0,0,0,0.5,0.472272277246929
"TAC_high_adjusted_for_CAF","SORD",4,1.11173793052202,0.266250846121666,0.177548774129092,0.0570823927391695,0,0,0,0,0.5,0.472295738965103
"TAC_high_adjusted_for_CAF","PRDM1",4,1.11165552529612,0.266286289012635,0.200897625687339,0.274768972520738,0,0,0,0,0.75,0.472295738965103
"TAC_high_adjusted_for_CAF","TUBA4B",4,1.11149180915801,0.266356713758257,-0.13083432602154,-0.125670753597076,0,0,0,0,0.75,0.47235297469234
"TAC_high_adjusted_for_CAF","POFUT1",4,1.11069177254144,0.266701044848833,0.050050092801986,-0.0274662644832394,0,0,0,0,0.5,0.4728958658305
"TAC_high_adjusted_for_CAF","STAG3L4",4,1.11040046858343,0.266826496389835,0.132909469332887,0.243823562020868,0,0,0,0,0.75,0.473050554962932
"TAC_high_adjusted_for_CAF","SLC33A1",4,1.10976459532203,0.267100479457144,-0.3409627395998,-0.273166056510246,1,0,0,0,0.75,0.47346849021756
"TAC_high_adjusted_for_CAF","KCNJ1",4,-1.10937589504028,0.26726805665822,-0.140239087312317,-0.12822783467936,0,0,0,0,0.75,0.473697715308341
"TAC_high_adjusted_for_CAF","ERICH1",4,1.10858522368255,0.267609155439771,0.287536553541006,0.0323579463905003,1,0,0,0,0.5,0.474234375085079
"TAC_high_adjusted_for_CAF","MYT1",4,-1.10820731923257,0.267772290571646,-0.401068451183702,-0.344829440233537,0,0,0,0,1,0.474401765954133
"TAC_high_adjusted_for_CAF","EML3",4,1.10816859369729,0.267789011607901,-0.0644551602342359,-0.0585997170716601,0,0,0,0,0.75,0.474401765954133
"TAC_high_adjusted_for_CAF","NPAS2",4,1.10810013266667,0.267818573687676,0.357996110539483,0.379470873492698,0,0,0,0,1,0.474401765954133
"TAC_high_adjusted_for_CAF","IFIT2",4,-1.10783748430854,0.267932008383477,-0.149727303347103,-0.170114354548555,0,0,0,0,0.75,0.474534801686329
"TAC_high_adjusted_for_CAF","C1R",4,-1.10764337475004,0.268015863201971,-0.664001484280077,-0.634542385109806,0,0,0,0,1,0.47461541788591
"TAC_high_adjusted_for_CAF","SYNM",4,-1.10741642665484,0.268113927046683,-0.898078647854226,-0.680384198063319,0,0,0,0,1,0.47467491503292
"TAC_high_adjusted_for_CAF","TMEM126B",4,1.10732744414125,0.268152382950125,0.0314064367245398,0.0580401781831304,0,0,0,0,0.5,0.47467491503292
"TAC_high_adjusted_for_CAF","ZNF415",4,-1.10725731645481,0.268182692962885,-0.50339211774667,-0.411478151028154,0,0,0,0,1,0.47467491503292
"TAC_high_adjusted_for_CAF","F10",4,-1.10714438225634,0.268231509401928,-0.0642135549326322,0.0256842075674699,0,0,0,0,0.75,0.47467491503292
"TAC_high_adjusted_for_CAF","PPARA",4,1.1071220307391,0.268241171693886,0.0191663250264824,0.0946660266659423,0,0,0,0,0.75,0.47467491503292
"TAC_high_adjusted_for_CAF","NINJ1",4,1.10654270498678,0.268491690661471,0.0693691128519068,0.164772866178895,0,0,0,0,0.75,0.474941217328509
"TAC_high_adjusted_for_CAF","KIR2DL1",4,-1.10652548629338,0.268499139032942,0.0496489980796169,0.12190365383139,0,0,0,0,0.5,0.474941217328509
"TAC_high_adjusted_for_CAF","ZNF213-AS1",4,1.106507889244,0.268506751218274,0.187503410711083,0.176708854923521,0,0,0,0,1,0.474941217328509
"TAC_high_adjusted_for_CAF","TFPT",4,-1.10618227003952,0.268647635315228,-0.270363078966759,-0.217009142111765,0,0,0,0,1,0.475005682566475
"TAC_high_adjusted_for_CAF","PDE9A",4,1.10617023704544,0.268652842545407,0.606856654563086,0.555536748824354,0,0,0,0,1,0.475005682566475
"TAC_high_adjusted_for_CAF","CABP2",4,-1.10615761940402,0.268658302853833,-0.194690275235958,-0.166448905714025,0,0,0,0,1,0.475005682566475
"TAC_high_adjusted_for_CAF","GZMA",4,-1.10586312640733,0.268785766908177,-0.411359769104592,-0.415832030981542,0,0,0,0,0.75,0.475101245232249
"TAC_high_adjusted_for_CAF","CYP20A1",4,1.10582752559613,0.268801178656997,0.398216772788619,0.376380744923506,1,0,0,0,0.75,0.475101245232249
"TAC_high_adjusted_for_CAF","NASP",4,-1.1057667694754,0.268827481652012,-0.219831829420416,-0.152156083504447,0,0,0,0,1,0.475101245232249
"TAC_high_adjusted_for_CAF","SCG3",4,-1.10539382797393,0.268988976998029,0.040702768918225,-0.0919833113945427,0,0,0,0,0.5,0.475318803202341
"TAC_high_adjusted_for_CAF","CDADC1",4,1.10519978030974,0.269073032049232,0.14508682661507,0.15004067287115,0,0,0,0,0.75,0.475399477204152
"TAC_high_adjusted_for_CAF","CASP3",4,1.10502991335383,0.269146627613339,0.0500718375359015,0.0848834154001087,0,0,0,0,0.75,0.475428629804223
"TAC_high_adjusted_for_CAF","XKR8",4,-1.10498442460002,0.269166338150064,-0.270100568562105,-0.0755080574020317,0,0,0,0,0.75,0.475428629804223
"TAC_high_adjusted_for_CAF","TRIM25",4,1.10481504877094,0.26923973837647,0.159578206242416,0.161322625962555,0,0,0,0,0.75,0.475442452662474
"TAC_high_adjusted_for_CAF","POLR2J4",4,1.10478912882494,0.269250972182278,0.0400709290841777,0.191690522797262,0,0,0,0,0.75,0.475442452662474
"TAC_high_adjusted_for_CAF","TET1",4,1.10457120549885,0.269345433725125,-0.152557492519514,-0.00164699425076575,0,0,0,0,0.5,0.475482561922527
"TAC_high_adjusted_for_CAF","CDRT1",4,1.1045595159322,0.269350501354013,0.107822771494731,0.136677901245062,0,0,0,0,0.75,0.475482561922527
"TAC_high_adjusted_for_CAF","RGS11",4,-1.10378077027399,0.269688248421798,-0.194073279349133,-0.158429973421094,0,0,0,0,0.75,0.47601090896234
"TAC_high_adjusted_for_CAF","HNRNPD",4,1.10358578285737,0.269772861199049,-0.21970381192985,-0.27306282118257,1,0,0,0,0.75,0.476092376570809
"TAC_high_adjusted_for_CAF","MOSPD3",4,1.10324822176425,0.269919385401386,0.252906343264465,0.258687822927199,0,0,0,0,0.75,0.476283066030382
"TAC_high_adjusted_for_CAF","JRK",4,1.10271659546205,0.270150257611873,-0.0699712965812228,-0.00872073174657542,0,1,0,0,0.5,0.476622515210914
"TAC_high_adjusted_for_CAF","IGFBP7",4,-1.10251454593783,0.270238038248442,-0.109552911296092,-0.133507209362312,0,0,0,0,0.75,0.476709449061799
"TAC_high_adjusted_for_CAF","EFCAB11",4,1.10230020818478,0.270331178896126,-0.256739955296669,-0.284192646340434,1,0,0,0,0.75,0.476805812043602
"TAC_high_adjusted_for_CAF","ZNF226",4,-1.10130577308423,0.270763599432635,-0.0782596578068813,-0.169063757580232,0,0,0,0,0.75,0.477492920446492
"TAC_high_adjusted_for_CAF","SPATA6",4,-1.101226977403,0.270797883235446,-0.162218833109865,-0.0622526665616055,0,0,0,0,0.5,0.477492920446492
"TAC_high_adjusted_for_CAF","STAG3",4,-1.10091835950219,0.270932190753615,-0.136936375961661,-0.183958150036268,0,0,0,0,0.75,0.477661709132691
"TAC_high_adjusted_for_CAF","HSD17B10",4,1.10075845907614,0.271001795818092,0.121208366329272,0.150561448236006,0,0,0,0,0.75,0.477710602905925
"TAC_high_adjusted_for_CAF","IFT81",4,1.10066817221618,0.271041103331455,0.118530279089089,0.20307246330334,0,0,0,0,0.75,0.477710602905925
"TAC_high_adjusted_for_CAF","HLA-C",4,-1.10058874679112,0.271075685413095,-0.250610478970881,-0.0542009855577629,0,0,0,0,0.5,0.477710602905925
"TAC_high_adjusted_for_CAF","CEP70",4,1.10046386442127,0.271130065706027,0.0640624336611477,0.0795597609104134,0,0,0,0,0.75,0.477738430606406
"TAC_high_adjusted_for_CAF","SCN3B",4,1.09953012216798,0.271536902620019,0.591132614836496,0.145816179571827,0,0,0,0,0.75,0.478377250240796
"TAC_high_adjusted_for_CAF","ZFHX2",4,-1.09937836932311,0.271603061690774,-0.0943629311597925,-0.0712710846032853,0,0,0,0,0.5,0.478377250240796
"TAC_high_adjusted_for_CAF","E2F5",4,-1.09925522996106,0.271656754370447,-0.0534585374389604,-0.0484535485574888,0,0,0,0,0.5,0.478377250240796
"TAC_high_adjusted_for_CAF","ICAM5",4,1.099219474391,0.27167234629825,0.174415248327159,0.144538304711073,0,0,0,0,0.75,0.478377250240796
"TAC_high_adjusted_for_CAF","MEIS1",4,-1.0991885784459,0.271685819583444,-0.727585622880327,-0.859301159027599,0,0,0,0,0.75,0.478377250240796
"TAC_high_adjusted_for_CAF","CTAGE8",4,1.098773011092,0.271867087104985,0.136196920534268,0.32098835942548,0,0,0,0,0.75,0.478628347320779
"TAC_high_adjusted_for_CAF","SMARCD2",4,1.09835769408697,0.272048328139553,-0.0273147547872649,-0.0224293717978921,0,0,0,0,0.5,0.478879326371061
"TAC_high_adjusted_for_CAF","YES1",4,1.09805078635163,0.272182313365214,-0.14072395656916,-0.0607593630958875,0,0,0,0,0.5,0.479047062761068
"TAC_high_adjusted_for_CAF","GEMIN8",4,1.09773277958953,0.272321191679328,-0.069655117952322,-0.131117946579148,0,0,0,0,0.75,0.479223362187645
"TAC_high_adjusted_for_CAF","PTGIR",4,-1.09764238975216,0.27236067512445,-0.0393753193201247,-0.0344105979160301,0,0,0,0,0.75,0.479224723996687
"TAC_high_adjusted_for_CAF","SETD3",4,1.09746514997962,0.272438107112052,-0.0778187650439562,-0.0322457772644669,0,0,0,0,0.5,0.479292847242746
"TAC_high_adjusted_for_CAF","PGM3",4,1.09618365637062,0.272998410462456,0.268121083597019,0.224356566472683,0,0,0,0,1,0.480135858497431
"TAC_high_adjusted_for_CAF","ZNF552",4,-1.09617495443296,0.273002217874989,-0.370716025753849,-0.413830624176188,0,0,0,0,1,0.480135858497431
"TAC_high_adjusted_for_CAF","SHANK2",4,1.09610314511759,0.273033638434727,-0.16255662846511,0.193727405042425,0,0,0,0,0.5,0.480135858497431
"TAC_high_adjusted_for_CAF","C8orf44-SGK3",4,-1.09592959545443,0.273109586253322,0.152212515086092,0.25643357109389,0,0,0,0,0.75,0.480201204064213
"TAC_high_adjusted_for_CAF","ACVR1B",4,1.09575287482334,0.27318693657777,-0.0972468967427535,-0.0933609418595796,0,0,0,0,0.5,0.480268996710139
"TAC_high_adjusted_for_CAF","GRK3",4,1.09554534286099,0.27327779209537,0.194123833799505,0.31193937052799,0,0,0,0,0.75,0.480360509178003
"TAC_high_adjusted_for_CAF","UBE4B",4,1.09530830553654,0.27338159005358,0.148451188780943,0.200797505392468,0,0,0,0,0.75,0.480474742314498
"TAC_high_adjusted_for_CAF","ESPN",4,1.09517586119783,0.273439598783142,0.042052698109754,0.0492514730513162,0,0,0,0,0.75,0.480508478770091
"TAC_high_adjusted_for_CAF","ANXA5",4,1.09483740707229,0.273587875085973,-0.00931788814685548,-0.0123635040683575,0,0,0,0,0.5,0.480700808056251
"TAC_high_adjusted_for_CAF","RPL21P28",4,1.09469546615594,0.273650075568733,-0.061702971652345,-0.0293310950688417,0,0,0,0,0.5,0.480741866828568
"TAC_high_adjusted_for_CAF","SLC17A3",4,-1.09453084049334,0.273722228928808,-0.259923918457038,-0.0812344925051307,0,0,0,0,0.5,0.480800396444189
"TAC_high_adjusted_for_CAF","RARS2",4,1.09432066562568,0.27381436482969,-0.106138641930893,-0.12236169383847,1,0,0,0,0.5,0.480894004339845
"TAC_high_adjusted_for_CAF","MYH3",4,-1.09421837182476,0.273859215782457,-0.17382285298695,-0.192264422928841,0,0,0,0,0.75,0.480904551969762
"TAC_high_adjusted_for_CAF","HOXC6",4,1.09406652250148,0.27392580372613,0.257890923115328,0.189419534969,0,0,0,0,1,0.480933431046622
"TAC_high_adjusted_for_CAF","MYO9B",4,1.09385663860224,0.274017858815459,0.31040981196124,0.152623246012924,1,0,0,0,1,0.480933431046622
"TAC_high_adjusted_for_CAF","HIVEP3",4,-1.09375159244649,0.27406394000165,-0.433403885397856,-0.134290565962397,0,0,0,0,0.75,0.480933431046622
"TAC_high_adjusted_for_CAF","SLC5A12",4,1.09367098853994,0.274099302559432,-0.200261731586659,-0.354195339403905,0,0,0,0,0.5,0.480933431046622
"TAC_high_adjusted_for_CAF","ZC3H13",4,1.09360370429822,0.274128823899211,0.183163130735447,0.199132185758249,0,0,0,0,1,0.480933431046622
"TAC_high_adjusted_for_CAF","BSG",4,1.09359252746786,0.274133728006838,-0.0114326129361518,0.111876388412706,0,1,0,0,0.75,0.480933431046622
"TAC_high_adjusted_for_CAF","HHLA2",4,-1.09356092487592,0.274147594741196,-0.305944107116385,-0.337256277470609,0,0,0,0,0.75,0.480933431046622
"TAC_high_adjusted_for_CAF","LINC00339",4,-1.0933557812213,0.274237620294056,-0.0957053833001509,-0.224595109580083,0,0,0,0,0.75,0.480994719299061
