"signature","sample","condition","compartment","n_cells","weighted_z","abs_weight","signature_score","n_genes_present"
"Core_CAF_interaction_positive_top200","P23T","Tumor","Myeloid",338,-90.3886459758713,466.563530148686,-0.193732771927257,180
"Core_CAF_interaction_positive_top200","P23T","Tumor","Tcell",944,-23.2029817325991,466.563530148686,-0.0497316661788903,180
"Core_CAF_interaction_positive_top200","P24T","Tumor","Epithelial",1716,83.071872065522,502.278013993144,0.165390221652537,194
"Core_CAF_interaction_positive_top200","P24T","Tumor","Fibroblast",436,251.346353298222,502.278013993144,0.500412811821089,194
"Core_CAF_interaction_positive_top200","P24T","Tumor","Myeloid",55,-121.228610676175,466.563530148686,-0.259833019176492,180
"Core_CAF_interaction_positive_top200","P24T","Tumor","Tcell",3578,-114.006210076832,466.563530148686,-0.244353025279324,180
"Core_CAF_interaction_positive_top200","P26T","Tumor","Epithelial",1292,337.037016180038,502.278013993144,0.671016860763167,194
"Core_CAF_interaction_positive_top200","P26T","Tumor","Fibroblast",89,328.90558414482,502.278013993144,0.654827754712969,194
"Core_CAF_interaction_positive_top200","P26T","Tumor","Myeloid",160,-128.638090931815,466.563530148686,-0.275713986669341,180
"Core_CAF_interaction_positive_top200","P26T","Tumor","Tcell",1355,-49.2439193717428,466.563530148686,-0.105546010756669,180
"Core_CAF_interaction_positive_top200","P27T","Tumor","Epithelial",1710,160.166100338132,502.278013993144,0.318879377308993,194
"Core_CAF_interaction_positive_top200","P27T","Tumor","Fibroblast",297,78.4884621377582,502.278013993144,0.156264976668538,194
"Core_CAF_interaction_positive_top200","P27T","Tumor","Myeloid",121,-146.344766442021,466.563530148686,-0.313665250250878,180
"Core_CAF_interaction_positive_top200","P27T","Tumor","Tcell",1499,-135.150169146698,466.563530148686,-0.289671524698101,180
"Core_CAF_interaction_positive_top200","P28T","Tumor","Epithelial",1377,122.359826801686,502.278013993144,0.243609760715818,194
"Core_CAF_interaction_positive_top200","P28T","Tumor","Fibroblast",121,139.335637037478,502.278013993144,0.277407398205131,194
"Core_CAF_interaction_positive_top200","P28T","Tumor","Myeloid",248,-222.901073287638,466.563530148686,-0.477750743219478,180
"Core_CAF_interaction_positive_top200","P28T","Tumor","Tcell",1088,-75.745784618902,466.563530148686,-0.162348275688765,180
"Core_CAF_interaction_positive_top200","P2T","Tumor","Epithelial",1538,342.946081557775,502.278013993144,0.682781391985148,194
"Core_CAF_interaction_positive_top200","P2T","Tumor","Fibroblast",228,95.8283213525424,502.278013993144,0.19078740992603,194
"Core_CAF_interaction_positive_top200","P2T","Tumor","Myeloid",164,-124.214113138589,466.563530148686,-0.266231938657965,180
"Core_CAF_interaction_positive_top200","P2T","Tumor","Tcell",1223,-57.3927235631348,466.563530148686,-0.123011594037032,180
"Core_CAF_interaction_positive_top200","P30T","Tumor","Epithelial",392,318.156293300726,502.278013993144,0.633426676934078,194
"Core_CAF_interaction_positive_top200","P30T","Tumor","Fibroblast",351,84.654222617758,502.278013993144,0.168540569683214,194
"Core_CAF_interaction_positive_top200","P30T","Tumor","Myeloid",480,-293.743800036487,466.563530148686,-0.629590143796443,180
"Core_CAF_interaction_positive_top200","P30T","Tumor","Tcell",1314,-248.113754033439,466.563530148686,-0.531789859259617,180
"Core_CAF_interaction_positive_top200","P31T","Tumor","Epithelial",1568,191.802758230209,502.278013993144,0.381865725527908,194
"Core_CAF_interaction_positive_top200","P31T","Tumor","Fibroblast",264,169.588961819488,502.278013993144,0.337639628044326,194
"Core_CAF_interaction_positive_top200","P31T","Tumor","Myeloid",659,-272.445757726002,466.563530148686,-0.583941393017105,180
"Core_CAF_interaction_positive_top200","P31T","Tumor","Tcell",866,-62.0565902607335,466.563530148686,-0.133007803333786,180
"Core_CAF_interaction_positive_top200","P32T","Tumor","Epithelial",1234,65.1133234546926,502.278013993144,0.129636021567094,194
"Core_CAF_interaction_positive_top200","P32T","Tumor","Fibroblast",357,254.010182240495,502.278013993144,0.505716306833931,194
"Core_CAF_interaction_positive_top200","P32T","Tumor","Myeloid",459,-104.555148772879,466.563530148686,-0.224096274176336,180
"Core_CAF_interaction_positive_top200","P32T","Tumor","Tcell",493,-15.6438166781501,466.563530148686,-0.0335298746414334,180
"Core_CAF_interaction_positive_top200","P36T","Tumor","Epithelial",586,39.9900718696154,502.278013993144,0.0796174046156065,194
"Core_CAF_interaction_positive_top200","P36T","Tumor","Fibroblast",124,209.642665398903,502.278013993144,0.417383718893506,194
"Core_CAF_interaction_positive_top200","P36T","Tumor","Myeloid",237,-181.650923632953,466.563530148686,-0.389338025574061,180
"Core_CAF_interaction_positive_top200","P36T","Tumor","Tcell",1446,-41.8510298731901,466.563530148686,-0.0897006027450386,180
"Core_CAF_interaction_positive_top200","P37T","Tumor","Epithelial",514,16.6302828744626,502.278013993144,0.0331097169518744,194
"Core_CAF_interaction_positive_top200","P37T","Tumor","Fibroblast",402,205.629252772997,502.278013993144,0.409393298221896,194
"Core_CAF_interaction_positive_top200","P37T","Tumor","Myeloid",119,-210.551600109274,466.563530148686,-0.4512817365776,180
"Core_CAF_interaction_positive_top200","P37T","Tumor","Tcell",470,-104.00414542632,466.563530148686,-0.222915291714241,180
"Core_CAF_interaction_positive_top200","P38T","Tumor","Epithelial",703,-136.728532064967,502.278013993144,-0.272216836604027,194
"Core_CAF_interaction_positive_top200","P38T","Tumor","Fibroblast",45,111.706436820571,502.278013993144,0.222399614772101,194
"Core_CAF_interaction_positive_top200","P38T","Tumor","Myeloid",148,-203.039735859969,466.563530148686,-0.435181326314262,180
"Core_CAF_interaction_positive_top200","P38T","Tumor","Tcell",2040,-94.1064712824758,466.563530148686,-0.201701301540833,180
"Core_CAF_interaction_positive_top200","P39T","Tumor","Epithelial",2884,48.9727691210154,502.278013993144,0.097501319501681,194
"Core_CAF_interaction_positive_top200","P39T","Tumor","Fibroblast",124,51.6847444519729,502.278013993144,0.102900670569025,194
"Core_CAF_interaction_positive_top200","P39T","Tumor","Myeloid",281,-280.577470153607,466.563530148686,-0.601370342993143,180
"Core_CAF_interaction_positive_top200","P39T","Tumor","Tcell",792,-125.079867645574,466.563530148686,-0.268087536987113,180
"Core_CAF_interaction_positive_top200","P40T","Tumor","Epithelial",404,-40.9697722589226,502.278013993144,-0.0815679187970226,194
"Core_CAF_interaction_positive_top200","P40T","Tumor","Fibroblast",877,102.509546142492,502.278013993144,0.204089255923296,194
"Core_CAF_interaction_positive_top200","P40T","Tumor","Myeloid",346,-187.107221637809,466.563530148686,-0.401032677325168,180
"Core_CAF_interaction_positive_top200","P40T","Tumor","Tcell",2435,-139.179764825693,466.563530148686,-0.298308281363823,180
"Core_CAF_interaction_positive_top200","P42T","Tumor","Epithelial",1183,-11.7856247029161,502.278013993144,-0.0234643451924554,194
"Core_CAF_interaction_positive_top200","P42T","Tumor","Fibroblast",570,152.974424753649,502.278013993144,0.304561259883728,194
"Core_CAF_interaction_positive_top200","P42T","Tumor","Myeloid",474,-96.6896539015124,466.563530148686,-0.207237916497029,180
"Core_CAF_interaction_positive_top200","P42T","Tumor","Tcell",1027,-100.732720820658,466.563530148686,-0.215903546487133,180
"Core_CAF_interaction_positive_top200","P44T","Tumor","Epithelial",793,-1.35375619534848,502.278013993144,-0.00269523283447354,194
"Core_CAF_interaction_positive_top200","P44T","Tumor","Fibroblast",2023,202.431907987808,502.278013993144,0.403027610901104,194
"Core_CAF_interaction_positive_top200","P44T","Tumor","Myeloid",567,-122.778513882184,466.563530148686,-0.263154974507022,180
"Core_CAF_interaction_positive_top200","P44T","Tumor","Tcell",647,-91.5236601761176,466.563530148686,-0.196165482859217,180
"Core_CAF_interaction_positive_top200","P47T","Tumor","Epithelial",1146,45.8286690596881,502.278013993144,0.0912416386601258,194
"Core_CAF_interaction_positive_top200","P47T","Tumor","Fibroblast",1601,164.471318477261,502.278013993144,0.32745076211818,194
"Core_CAF_interaction_positive_top200","P47T","Tumor","Myeloid",393,-140.133344571044,466.563530148686,-0.30035211823433,180
"Core_CAF_interaction_positive_top200","P47T","Tumor","Tcell",1419,-39.8354117866451,466.563530148686,-0.0853804663513889,180
"Core_CAF_interaction_positive_top200","P48T","Tumor","Epithelial",1281,-91.6311240474383,502.278013993144,-0.182431086957131,194
"Core_CAF_interaction_positive_top200","P48T","Tumor","Fibroblast",55,96.5409486782436,502.278013993144,0.192206200527745,194
"Core_CAF_interaction_positive_top200","P48T","Tumor","Myeloid",76,-191.36005949697,466.563530148686,-0.410147915838999,180
"Core_CAF_interaction_positive_top200","P48T","Tumor","Tcell",800,-98.6292867086085,466.563530148686,-0.211395191298336,180
"Core_CAF_interaction_positive_top200","P49T","Tumor","Epithelial",409,26.027745604783,502.278013993144,0.0518194005703349,194
"Core_CAF_interaction_positive_top200","P49T","Tumor","Fibroblast",179,428.42042707581,502.278013993144,0.852954768355952,194
"Core_CAF_interaction_positive_top200","P49T","Tumor","Myeloid",267,-138.28681947977,466.563530148686,-0.29639440407119,180
"Core_CAF_interaction_positive_top200","P49T","Tumor","Tcell",681,-104.956508162448,466.563530148686,-0.224956520131354,180
"Core_CAF_interaction_positive_top200","P4T","Tumor","Epithelial",624,132.380887967277,502.278013993144,0.263560984712111,194
"Core_CAF_interaction_positive_top200","P4T","Tumor","Fibroblast",1336,192.23467341139,502.278013993144,0.382725638104506,194
