signature,model,rank,gene,weight,meta_p,meta_FDR
TAC_high_positive_top200,TAC_high_vs_other,91,CALU,7.64352604305233,2.11352355624964e-14,2.84587233526827e-12
TAC_high_positive_top200,TAC_high_vs_other,92,DNAJB4,7.64344440125924,2.11486474026398e-14,2.84587233526827e-12
TAC_high_positive_top200,TAC_high_vs_other,93,OLFML1,7.62206120912333,2.4965659285156e-14,3.32338561236808e-12
TAC_high_positive_top200,TAC_high_vs_other,94,ACKR3,7.60356525537407,2.88081885042177e-14,3.79409972002357e-12
TAC_high_positive_top200,TAC_high_vs_other,95,OLFML2B,7.596542865984,3.0414658232173e-14,3.96351019909792e-12
TAC_high_positive_top200,TAC_high_vs_other,96,COPZ2,7.59394790442626,3.10303191902202e-14,4.00161824557215e-12
TAC_high_positive_top200,TAC_high_vs_other,97,TMEM47,7.58497442898895,3.32552644377876e-14,4.24433168803928e-12
TAC_high_positive_top200,TAC_high_vs_other,98,ACTA2,7.57955851340061,3.46732799016699e-14,4.38015515492524e-12
TAC_high_positive_top200,TAC_high_vs_other,99,SERPINF1,7.55817488613076,4.08764217825413e-14,5.11161718856426e-12
TAC_high_positive_top200,TAC_high_vs_other,100,ADAM19,7.54987509331111,4.3567587507816e-14,5.39366733346762e-12
TAC_high_positive_top200,TAC_high_vs_other,101,LAMA4,7.54390751929617,4.56094636809955e-14,5.5905461422844e-12
TAC_high_positive_top200,TAC_high_vs_other,102,CORO1C,7.51384367108424,5.74161424108896e-14,6.96874355928249e-12
TAC_high_positive_top200,TAC_high_vs_other,103,NID2,7.50797373374167,6.00495495806099e-14,7.21760605638787e-12
TAC_high_positive_top200,TAC_high_vs_other,104,STC2,7.50489942640982,6.14757817375521e-14,7.31798247991246e-12
TAC_high_positive_top200,TAC_high_vs_other,105,COL7A1,7.50202489723188,6.28394325072862e-14,7.40906832800193e-12
TAC_high_positive_top200,TAC_high_vs_other,106,ITGA5,7.49067673410674,6.85193915968412e-14,8.0025478110273e-12
TAC_high_positive_top200,TAC_high_vs_other,107,EPYC,7.48898939591165,6.94059474807906e-14,8.03033298889896e-12
TAC_high_positive_top200,TAC_high_vs_other,108,TAGLN,7.45118723014091,9.25039725712812e-14,1.06036961151154e-11
TAC_high_positive_top200,TAC_high_vs_other,109,BMP1,7.44770773886028,9.49759278297153e-14,1.07871741883658e-11
TAC_high_positive_top200,TAC_high_vs_other,110,DPYSL3,7.4390067271144,1.01445158760516e-13,1.14171915041381e-11
TAC_high_positive_top200,TAC_high_vs_other,111,PRKG1,7.42420395214342,1.13460214657402e-13,1.26543915086364e-11
TAC_high_positive_top200,TAC_high_vs_other,112,ZEB1,7.41681324887014,1.19971922459047e-13,1.32611821432411e-11
TAC_high_positive_top200,TAC_high_vs_other,113,SYNDIG1,7.39276581202635,1.43805630019497e-13,1.57549884924015e-11
TAC_high_positive_top200,TAC_high_vs_other,114,BPGM,7.3790656402111,1.59404232865724e-13,1.73107403761198e-11
TAC_high_positive_top200,TAC_high_vs_other,115,SCN9A,7.37640168830082,1.62624870145272e-13,1.7506920803465e-11
TAC_high_positive_top200,TAC_high_vs_other,116,ASPN,7.36718926500511,1.74263003265993e-13,1.85980687968361e-11
TAC_high_positive_top200,TAC_high_vs_other,117,DDR2,7.36516899575834,1.76922593659265e-13,1.87205274316384e-11
TAC_high_positive_top200,TAC_high_vs_other,118,VGLL3,7.35424674319244,1.92006770149067e-13,2.01444391054699e-11
TAC_high_positive_top200,TAC_high_vs_other,119,STON1,7.32664969592305,2.35977580350776e-13,2.45496003759883e-11
TAC_high_positive_top200,TAC_high_vs_other,120,FBLN2,7.32274640123164,2.42946661766101e-13,2.50639972722028e-11
TAC_high_positive_top200,TAC_high_vs_other,121,PCBP3,7.31029068455903,2.66565088802741e-13,2.72733537138672e-11
TAC_high_positive_top200,TAC_high_vs_other,122,COL5A3,7.3028231683128,2.81791429443752e-13,2.85949007910955e-11
TAC_high_positive_top200,TAC_high_vs_other,123,RHOQ,7.29230696132183,3.04691962511012e-13,3.06673698852547e-11
TAC_high_positive_top200,TAC_high_vs_other,124,MFGE8,7.28078013613087,3.31895217752633e-13,3.3135990288529e-11
TAC_high_positive_top200,TAC_high_vs_other,125,ZCCHC24,7.26632345262657,3.69403459608588e-13,3.65857186396346e-11
TAC_high_positive_top200,TAC_high_vs_other,126,CD248,7.25675563221647,3.9648505153145e-13,3.8956229666344e-11
TAC_high_positive_top200,TAC_high_vs_other,127,CHN1,7.25233025155205,4.09661506790703e-13,3.99339327092039e-11
TAC_high_positive_top200,TAC_high_vs_other,128,ABL2,7.23092055263818,4.79730952209856e-13,4.6398978034047e-11
TAC_high_positive_top200,TAC_high_vs_other,129,HTRA1,7.20457626353947,5.82246279477906e-13,5.58775886816782e-11
TAC_high_positive_top200,TAC_high_vs_other,130,TWIST1,7.1994777592942,6.04436141849247e-13,5.75609187391821e-11
TAC_high_positive_top200,TAC_high_vs_other,131,DENND5A,7.19309709190222,6.33378675256277e-13,5.9856702287578e-11
TAC_high_positive_top200,TAC_high_vs_other,132,TENM4,7.19003743716625,6.47735591074491e-13,6.07497471022894e-11
TAC_high_positive_top200,TAC_high_vs_other,133,KCND2,7.16495111680355,7.78143154120372e-13,7.23945615530882e-11
TAC_high_positive_top200,TAC_high_vs_other,134,SUGCT,7.16399507779121,7.83592184823411e-13,7.23945615530882e-11
TAC_high_positive_top200,TAC_high_vs_other,135,RCN3,7.15784740187123,8.19537061010227e-13,7.5154583817086e-11
TAC_high_positive_top200,TAC_high_vs_other,136,ST8SIA2,7.15419779646821,8.41636383714658e-13,7.66136649293196e-11
TAC_high_positive_top200,TAC_high_vs_other,137,PTPRD,7.14275984172497,9.14753707550634e-13,8.26616853976412e-11
TAC_high_positive_top200,TAC_high_vs_other,138,SERPINH1,7.13866297375423,9.42430874933855e-13,8.45456103745009e-11
TAC_high_positive_top200,TAC_high_vs_other,139,ITGAV,7.13451508460319,9.71289636424228e-13,8.6507666898791e-11
TAC_high_positive_top200,TAC_high_vs_other,140,CAV2,7.12680516754971,1.02725336242305e-12,9.08385473342666e-11
TAC_high_positive_top200,TAC_high_vs_other,141,MAP1A,7.1233050812156,1.05369229224204e-12,9.2515677857847e-11
TAC_high_positive_top200,TAC_high_vs_other,142,GUCY1A2,7.11058646788885,1.15550881017415e-12,1.00740838520816e-10
TAC_high_positive_top200,TAC_high_vs_other,143,GAS1,7.10868599798136,1.17152939925638e-12,1.01423314425133e-10
TAC_high_positive_top200,TAC_high_vs_other,144,CSGALNACT2,7.10400472311498,1.21192711529847e-12,1.04192067273577e-10
TAC_high_positive_top200,TAC_high_vs_other,145,PLPPR4,7.08923345731256,1.34856865782582e-12,1.15139861957818e-10
TAC_high_positive_top200,TAC_high_vs_other,146,LOX,7.08112304076216,1.42990870042764e-12,1.21248422680097e-10
TAC_high_positive_top200,TAC_high_vs_other,147,CRMP1,7.0774761460345,1.46803451730215e-12,1.23634471593202e-10
TAC_high_positive_top200,TAC_high_vs_other,148,BNC2,7.07531405317735,1.4911068039964e-12,1.24729069145104e-10
TAC_high_positive_top200,TAC_high_vs_other,149,SLC22A17,7.07203196182489,1.52681240941348e-12,1.26858641802274e-10
TAC_high_positive_top200,TAC_high_vs_other,150,RGS4,7.06421137458551,1.61530706959035e-12,1.3331667681019e-10
TAC_high_positive_top200,TAC_high_vs_other,151,KIAA0930,7.06295392854828,1.62999778597925e-12,1.3363822907565e-10
TAC_high_positive_top200,TAC_high_vs_other,152,RBFOX2,7.04177770096172,1.89802475635626e-12,1.54589121603227e-10
TAC_high_positive_top200,TAC_high_vs_other,153,STK32B,7.02266811251582,2.17670849638803e-12,1.76128439119502e-10
TAC_high_positive_top200,TAC_high_vs_other,154,VSTM4,7.01873414866635,2.23887313024307e-12,1.78878932654751e-10
TAC_high_positive_top200,TAC_high_vs_other,155,DZIP1,7.01868885448374,2.2395989144981e-12,1.78878932654751e-10
TAC_high_positive_top200,TAC_high_vs_other,156,GFPT2,7.0116412267302,2.35538568762111e-12,1.86920992389419e-10
TAC_high_positive_top200,TAC_high_vs_other,157,CDH13,7.00671576108358,2.43977203698461e-12,1.92384572088341e-10
TAC_high_positive_top200,TAC_high_vs_other,158,MN1,6.99110281419628,2.72733791454982e-12,2.13699008747638e-10
TAC_high_positive_top200,TAC_high_vs_other,159,HOMER3,6.9891352886387,2.76585615849998e-12,2.15354083284464e-10
TAC_high_positive_top200,TAC_high_vs_other,160,NUAK1,6.9865359483635,2.81756235273222e-12,2.18008887042655e-10
TAC_high_positive_top200,TAC_high_vs_other,161,TIMP3,6.98483341380313,2.85194178076537e-12,2.19298380409163e-10
TAC_high_positive_top200,TAC_high_vs_other,162,DUSP14,6.97880307127183,2.97705423099196e-12,2.27313652930081e-10
TAC_high_positive_top200,TAC_high_vs_other,163,PRSS23,6.97805702373826,2.99290189237506e-12,2.27313652930081e-10
TAC_high_positive_top200,TAC_high_vs_other,164,FOXD1,6.9611283194283,3.3755812443782e-12,2.53490010612054e-10
