"axis","feature","n","rho","p.value","FDR"
"IL6_family","Ca2_axis_score",60,0.196499027507641,0.132383318843927,0.238289973919068
"IL6_family","PERK_bias_index",60,-0.127535426507363,0.331509993176945,0.745897484648127
"IL6_family","UPR_composite",60,0.364879133092526,0.00415130113323397,0.0186808550995528
"IL6_family","TMEM158",60,-0.285547537432303,0.0269955381708206,0.0809866145124618
"Laminin_integrin","fibroblast_TAC_high_top50_signature",60,0.000777993887190887,0.995292872919989,0.995292872919989
"Laminin_integrin","CAF_score",60,-0.0386218393998333,0.769537749103608,0.769537749103608
"Laminin_integrin","core_axis_state_score",60,-0.0647957766046124,0.622814608828831,0.895984683499769
"Laminin_integrin","perk_caf_ecology_score",60,-0.139872186718533,0.286466827227254,0.32227518063066
"Laminin_integrin","Ca2_axis_score",60,0.0865796054459572,0.510684689400543,0.574520275575611
"Laminin_integrin","PERK_bias_index",60,-0.0499027507641011,0.704947976817048,0.875421355696391
"Laminin_integrin","UPR_composite",60,-0.0363434287302028,0.782790706643915,0.782790706643915
"Laminin_integrin","TMEM158",60,0.0462479172948562,0.72567324541861,0.72567324541861
"MIF_SPP1_axis","fibroblast_TAC_high_top50_signature",60,0.293025840511253,0.0230775880400883,0.041539658472159
"MIF_SPP1_axis","CAF_score",60,0.293914976382328,0.022645486504156,0.0407618757074808
"MIF_SPP1_axis","core_axis_state_score",60,0.0597388163378716,0.650256348957022,0.895984683499769
"MIF_SPP1_axis","perk_caf_ecology_score",60,0.334981939427619,0.00889051518967622,0.0200036591767715
"MIF_SPP1_axis","Ca2_axis_score",60,-0.174270630730759,0.182954054564344,0.274431081846517
"MIF_SPP1_axis","PERK_bias_index",60,0.0448457904973604,0.73367738924769,0.875421355696391
"MIF_SPP1_axis","UPR_composite",60,-0.246790775215338,0.0573101591697892,0.0859652387546838
"MIF_SPP1_axis","TMEM158",60,0.327626471797935,0.0106080513097865,0.0809866145124618
"TGF_beta_activin","fibroblast_TAC_high_top50_signature",60,0.0883023061961656,0.502277385911845,0.645785210458086
"TGF_beta_activin","CAF_score",60,0.0694637399277577,0.59792775260612,0.672668721681885
"TGF_beta_activin","core_axis_state_score",60,0.0385106974159489,0.770182749875234,0.895984683499769
"TGF_beta_activin","perk_caf_ecology_score",60,0.00300083356487913,0.981845361691987,0.981845361691987
"TGF_beta_activin","Ca2_axis_score",60,0.14609613781606,0.265348128985356,0.341161880124029
"TGF_beta_activin","PERK_bias_index",60,-0.0206724090025007,0.875421355696391,0.875421355696391
"TGF_beta_activin","UPR_composite",60,0.0744095582106141,0.572050914122135,0.643557278387402
"TGF_beta_activin","TMEM158",60,0.141856592471722,0.27961677458422,0.447429026362002
"CAF_to_epithelial_LR_composite","fibroblast_TAC_high_top50_signature",60,-0.13425951653237,0.306434361758221,0.459651542637331
"CAF_to_epithelial_LR_composite","CAF_score",60,-0.194442900805779,0.136562568402271,0.204843852603407
"CAF_to_epithelial_LR_composite","core_axis_state_score",60,0.00527924423450959,0.968066906931804,0.968066906931804
