"category","ligand","receptor","pair_id","pair_label","feature","n","rho","p.value","FDR","boundary_call"
"ECM_integrin","COL1A1","ITGA2","COL1A1_ITGA2","COL1A1->ITGA2","fibroblast_TAC_high_top50_signature",60,0.622617393720478,1.08715049721775e-07,4.36061237087888e-07,"positive_FDR"
"ECM_integrin","COL1A1","ITGA2","COL1A1_ITGA2","COL1A1->ITGA2","CAF_score",60,0.600611280911364,3.91298423406788e-07,1.45261046544764e-06,"positive_FDR"
"ECM_integrin","COL1A1","ITGA2","COL1A1_ITGA2","COL1A1->ITGA2","core_axis_state_score",60,0.0724090025006947,0.58245543607084,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGA2","COL1A1_ITGA2","COL1A1->ITGA2","perk_caf_ecology_score",60,0.337760489024729,0.00830771795426081,0.0228007090834925,"positive_FDR"
"ECM_integrin","COL1A1","ITGA2","COL1A1_ITGA2","COL1A1->ITGA2","Ca2_axis_score",60,0.156821339260906,0.231462367909598,0.54228326195963,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGA2","COL1A1_ITGA2","COL1A1->ITGA2","PERK_bias_index",60,-0.180216726868575,0.168234503476498,0.504211173148287,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGA2","COL1A1_ITGA2","COL1A1->ITGA2","UPR_composite",60,0.0313976104473465,0.811766723267128,0.923095198681094,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGA2","COL1A1_ITGA2","COL1A1->ITGA2","TMEM158",60,0.355364104887038,0.00533118603616695,0.0728595424942816,"positive_FDR"
"ECM_integrin","COL1A2","ITGA2","COL1A2_ITGA2","COL1A2->ITGA2","fibroblast_TAC_high_top50_signature",60,0.569102528480133,2.08873476034323e-06,6.11700894100517e-06,"positive_FDR"
"ECM_integrin","COL1A2","ITGA2","COL1A2_ITGA2","COL1A2->ITGA2","CAF_score",60,0.54987496526813,5.34536820883175e-06,1.46106731041401e-05,"positive_FDR"
"ECM_integrin","COL1A2","ITGA2","COL1A2_ITGA2","COL1A2->ITGA2","core_axis_state_score",60,0.00544595721033621,0.967059043090492,0.978998043622473,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA2","COL1A2_ITGA2","COL1A2->ITGA2","perk_caf_ecology_score",60,0.219116421228119,0.0925545457983837,0.17649936640622,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA2","COL1A2_ITGA2","COL1A2->ITGA2","Ca2_axis_score",60,0.170436232286746,0.192926159446082,0.535289384204105,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA2","COL1A2_ITGA2","COL1A2->ITGA2","PERK_bias_index",60,-0.251292025562656,0.0527752266958804,0.365528558702744,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA2","COL1A2_ITGA2","COL1A2->ITGA2","UPR_composite",60,0.089469297026952,0.496622901285718,0.732712289503307,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA2","COL1A2_ITGA2","COL1A2->ITGA2","TMEM158",60,0.268204568446732,0.0382720615798063,0.149443288073529,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA2","COL3A1_ITGA2","COL3A1->ITGA2","fibroblast_TAC_high_top50_signature",60,0.624784662406224,9.53167505374398e-08,4.31304955454531e-07,"positive_FDR"
"ECM_integrin","COL3A1","ITGA2","COL3A1_ITGA2","COL3A1->ITGA2","CAF_score",60,0.618282856348986,1.41004912552341e-07,5.50590610918666e-07,"positive_FDR"
"ECM_integrin","COL3A1","ITGA2","COL3A1_ITGA2","COL3A1->ITGA2","core_axis_state_score",60,0.0686301750486246,0.602339480159966,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA2","COL3A1_ITGA2","COL3A1->ITGA2","perk_caf_ecology_score",60,0.326312864684635,0.0109432760857721,0.0280421449697911,"positive_FDR"
"ECM_integrin","COL3A1","ITGA2","COL3A1_ITGA2","COL3A1->ITGA2","Ca2_axis_score",60,0.191664351208669,0.142366724861152,0.535289384204105,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA2","COL3A1_ITGA2","COL3A1->ITGA2","PERK_bias_index",60,-0.199833287024173,0.125812253052829,0.41266419001328,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA2","COL3A1_ITGA2","COL3A1->ITGA2","UPR_composite",60,0.0540705751597666,0.68157211626232,0.87007413132325,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA2","COL3A1_ITGA2","COL3A1->ITGA2","TMEM158",60,0.324735976967007,0.0113577614023903,0.103481826110667,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA2","COL6A1_ITGA2","COL6A1->ITGA2","fibroblast_TAC_high_top50_signature",60,0.35893303695471,0.00485794033332615,0.00905343425756237,"positive_FDR"
"ECM_integrin","COL6A1","ITGA2","COL6A1_ITGA2","COL6A1->ITGA2","CAF_score",60,0.304195609891637,0.0181266451193221,0.0323127152127045,"positive_FDR"
"ECM_integrin","COL6A1","ITGA2","COL6A1_ITGA2","COL6A1->ITGA2","core_axis_state_score",60,-0.000889135871075299,0.994620435497418,0.994620435497418,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA2","COL6A1_ITGA2","COL6A1->ITGA2","perk_caf_ecology_score",60,0.137704918032787,0.294073173152671,0.388935487072887,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA2","COL6A1_ITGA2","COL6A1->ITGA2","Ca2_axis_score",60,0.129702695193109,0.323290468091977,0.602495872353229,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA2","COL6A1_ITGA2","COL6A1->ITGA2","PERK_bias_index",60,-0.062795220894693,0.633612479426393,0.880613954457021,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA2","COL6A1_ITGA2","COL6A1->ITGA2","UPR_composite",60,0.0505140316754654,0.701501864370213,0.87007413132325,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA2","COL6A1_ITGA2","COL6A1->ITGA2","TMEM158",60,0.173262930538542,0.185537976049156,0.283268559928151,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA2","COL6A2_ITGA2","COL6A2->ITGA2","fibroblast_TAC_high_top50_signature",60,0.360322311753265,0.00468397706880563,0.00893223534051307,"positive_FDR"
"ECM_integrin","COL6A2","ITGA2","COL6A2_ITGA2","COL6A2->ITGA2","CAF_score",60,0.29419283134204,0.0225118669165952,0.0392760231310811,"positive_FDR"
"ECM_integrin","COL6A2","ITGA2","COL6A2_ITGA2","COL6A2->ITGA2","core_axis_state_score",60,0.0617949430397333,0.639040234629809,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA2","COL6A2_ITGA2","COL6A2->ITGA2","perk_caf_ecology_score",60,0.138594053903862,0.2909368167445,0.388935487072887,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA2","COL6A2_ITGA2","COL6A2->ITGA2","Ca2_axis_score",60,0.196110030564046,0.133166496101245,0.535289384204105,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA2","COL6A2_ITGA2","COL6A2->ITGA2","PERK_bias_index",60,-0.0232842456237844,0.859831357115591,0.965837962787376,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA2","COL6A2_ITGA2","COL6A2->ITGA2","UPR_composite",60,0.0489024729091414,0.710599781868993,0.87007413132325,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA2","COL6A2_ITGA2","COL6A2->ITGA2","TMEM158",60,0.141078382324934,0.28229007234183,0.382311317427958,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA2","COL6A3_ITGA2","COL6A3->ITGA2","fibroblast_TAC_high_top50_signature",60,0.503973325923868,4.03984261321238e-05,0.000100383967964671,"positive_FDR"
"ECM_integrin","COL6A3","ITGA2","COL6A3_ITGA2","COL6A3->ITGA2","CAF_score",60,0.432509030286191,0.000558137188924698,0.0012643254727483,"positive_FDR"
"ECM_integrin","COL6A3","ITGA2","COL6A3_ITGA2","COL6A3->ITGA2","core_axis_state_score",60,-0.03450958599611,0.793502691552534,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA2","COL6A3_ITGA2","COL6A3->ITGA2","perk_caf_ecology_score",60,0.182495137538205,0.162830152531411,0.263694969371164,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA2","COL6A3_ITGA2","COL6A3->ITGA2","Ca2_axis_score",60,0.0632953598221728,0.63090576207449,0.834423749840454,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA2","COL6A3_ITGA2","COL6A3->ITGA2","PERK_bias_index",60,-0.128424562378438,0.328122098349442,0.661746182363911,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA2","COL6A3_ITGA2","COL6A3->ITGA2","UPR_composite",60,0.0161155876632398,0.902730528519349,0.957990762330507,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA2","COL6A3_ITGA2","COL6A3->ITGA2","TMEM158",60,0.180433581176807,0.167714553151366,0.280296920798613,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGB1","COL1A1_ITGB1","COL1A1->ITGB1","fibroblast_TAC_high_top50_signature",60,0.722256182272854,7.3413550427449e-11,7.52488891881353e-10,"positive_FDR"
"ECM_integrin","COL1A1","ITGB1","COL1A1_ITGB1","COL1A1->ITGB1","CAF_score",60,0.711975548763546,1.79466972854069e-10,1.47162917740336e-09,"positive_FDR"
"ECM_integrin","COL1A1","ITGB1","COL1A1_ITGB1","COL1A1->ITGB1","core_axis_state_score",60,-0.0651292025562656,0.621022538050625,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGB1","COL1A1_ITGB1","COL1A1->ITGB1","perk_caf_ecology_score",60,0.354265073631564,0.00548486166901373,0.0195547242112663,"positive_FDR"
"ECM_integrin","COL1A1","ITGB1","COL1A1_ITGB1","COL1A1->ITGB1","Ca2_axis_score",60,0.0549041400388997,0.676931612857617,0.867318628973822,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGB1","COL1A1_ITGB1","COL1A1->ITGB1","PERK_bias_index",60,-0.227729924979161,0.080126037877408,0.382942197399493,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGB1","COL1A1_ITGB1","COL1A1->ITGB1","UPR_composite",60,-0.160322311753265,0.221080003782469,0.464834879747755,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGB1","COL1A1_ITGB1","COL1A1->ITGB1","TMEM158",60,0.300333530221284,0.0197247200631739,0.116651992553321,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGB1","COL1A2_ITGB1","COL1A2->ITGB1","fibroblast_TAC_high_top50_signature",60,0.685690469574882,1.49394717110121e-09,1.0208639002525e-08,"positive_FDR"
"ECM_integrin","COL1A2","ITGB1","COL1A2_ITGB1","COL1A2->ITGB1","CAF_score",60,0.676243400944707,3.03495512466411e-09,1.91435630940352e-08,"positive_FDR"
"ECM_integrin","COL1A2","ITGB1","COL1A2_ITGB1","COL1A2->ITGB1","core_axis_state_score",60,-0.11158655181995,0.395982185184824,0.927729691004445,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGB1","COL1A2_ITGB1","COL1A2->ITGB1","perk_caf_ecology_score",60,0.261183662128369,0.0438316066231774,0.0921587626436038,"positive_FDR"
"ECM_integrin","COL1A2","ITGB1","COL1A2_ITGB1","COL1A2->ITGB1","Ca2_axis_score",60,0.0715754376215616,0.586815894084097,0.818815137926512,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGB1","COL1A2_ITGB1","COL1A2->ITGB1","PERK_bias_index",60,-0.294137260350097,0.0225385373160492,0.264022865702291,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGB1","COL1A2_ITGB1","COL1A2->ITGB1","UPR_composite",60,-0.111197554876355,0.397641381477498,0.666632744432292,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGB1","COL1A2_ITGB1","COL1A2->ITGB1","TMEM158",60,0.235075050769167,0.0706052663643654,0.212291005308696,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGB1","COL3A1_ITGB1","COL3A1->ITGB1","fibroblast_TAC_high_top50_signature",60,0.710252848013337,2.07681147436255e-10,1.70298540897729e-09,"positive_FDR"
"ECM_integrin","COL3A1","ITGB1","COL3A1_ITGB1","COL3A1->ITGB1","CAF_score",60,0.716587941094749,1.20758349160962e-10,1.10024273679987e-09,"positive_FDR"
"ECM_integrin","COL3A1","ITGB1","COL3A1_ITGB1","COL3A1->ITGB1","core_axis_state_score",60,-0.0730758544040011,0.578977713316017,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGB1","COL3A1_ITGB1","COL3A1->ITGB1","perk_caf_ecology_score",60,0.347040844679078,0.00659543610613382,0.02166338615694,"positive_FDR"
