"sample_label","stage","feature","value","source_type","rank"
"HGIN 3","HGIN","fibroblasts",0.693753967566249,"DSP cell deconvolution",2
"HGIN 4","HGIN","fibroblasts",0.565050329974215,"DSP cell deconvolution",2
"HGIN 5","HGIN","fibroblasts",3.72080906463178,"DSP cell deconvolution",2
"HGIN 6","HGIN","fibroblasts",2.78483356911373,"DSP cell deconvolution",2
"HGIN 7","HGIN","fibroblasts",1.49177162763062,"DSP cell deconvolution",2
"HGIN 8","HGIN","fibroblasts",1.07042362721596,"DSP cell deconvolution",2
"HGIN 9","HGIN","fibroblasts",4.4202798654625,"DSP cell deconvolution",2
"HGIN 10","HGIN","fibroblasts",0.279028954561942,"DSP cell deconvolution",2
"HGIN 11","HGIN","fibroblasts",2.59459322962107,"DSP cell deconvolution",2
"HGIN 12","HGIN","fibroblasts",1.17153030270363,"DSP cell deconvolution",2
"ESCC1","ESCC","fibroblasts",5.00155082552327,"DSP cell deconvolution",3
"ESCC2","ESCC","fibroblasts",6.72943921961431,"DSP cell deconvolution",3
"ESCC3","ESCC","fibroblasts",9.11003892783169,"DSP cell deconvolution",3
"ESCC4","ESCC","fibroblasts",3.54285317380985,"DSP cell deconvolution",3
"ESCC5","ESCC","fibroblasts",2.63340446701273,"DSP cell deconvolution",3
"ESCC6","ESCC","fibroblasts",1.0552359916516,"DSP cell deconvolution",3
"ESCC7","ESCC","fibroblasts",2.45519444701088,"DSP cell deconvolution",3
"NE 1","NE","macrophages",0.94760599,"DSP cell deconvolution",0
"NE 2","NE","macrophages",2.50158814,"DSP cell deconvolution",0
"NE 3","NE","macrophages",0,"DSP cell deconvolution",0
"NE 4","NE","macrophages",0,"DSP cell deconvolution",0
"NE 5","NE","macrophages",3.24673132,"DSP cell deconvolution",0
"NE 6","NE","macrophages",1.90502001,"DSP cell deconvolution",0
"NE 7","NE","macrophages",1.29207755,"DSP cell deconvolution",0
"NE 8","NE","macrophages",1.16102982,"DSP cell deconvolution",0
"NE 9","NE","macrophages",0.6032681,"DSP cell deconvolution",0
"NE 10","NE","macrophages",0.0710546,"DSP cell deconvolution",0
"NE 11","NE","macrophages",0.6356585,"DSP cell deconvolution",0
"LGIN 1","LGIN","macrophages",0.73975421,"DSP cell deconvolution",1
"LGIN 2","LGIN","macrophages",0,"DSP cell deconvolution",1
"LGIN 3","LGIN","macrophages",3.58771114,"DSP cell deconvolution",1
"LGIN 4","LGIN","macrophages",2.87068664,"DSP cell deconvolution",1
"LGIN 5","LGIN","macrophages",2.54706686,"DSP cell deconvolution",1
"LGIN 6","LGIN","macrophages",3.5891154,"DSP cell deconvolution",1
"LGIN 7","LGIN","macrophages",2.62094994,"DSP cell deconvolution",1
"LGIN 8","LGIN","macrophages",2.14995327,"DSP cell deconvolution",1
"LGIN 9","LGIN","macrophages",1.78064398,"DSP cell deconvolution",1
"LGIN 10","LGIN","macrophages",2.25183346,"DSP cell deconvolution",1
"LGIN 11","LGIN","macrophages",3.07468151,"DSP cell deconvolution",1
"LGIN 12","LGIN","macrophages",2.86294372,"DSP cell deconvolution",1
"HGIN 1","HGIN","macrophages",4.34681134,"DSP cell deconvolution",2
"HGIN 2","HGIN","macrophages",2.13046523,"DSP cell deconvolution",2
"HGIN 3","HGIN","macrophages",3.63735219,"DSP cell deconvolution",2
"HGIN 4","HGIN","macrophages",4.3808472,"DSP cell deconvolution",2
"HGIN 5","HGIN","macrophages",9.00908803,"DSP cell deconvolution",2
"HGIN 6","HGIN","macrophages",11.5377898,"DSP cell deconvolution",2
"HGIN 7","HGIN","macrophages",7.48781505,"DSP cell deconvolution",2
"HGIN 8","HGIN","macrophages",3.69005848,"DSP cell deconvolution",2
"HGIN 9","HGIN","macrophages",8.68550213,"DSP cell deconvolution",2
"HGIN 10","HGIN","macrophages",5.49168006,"DSP cell deconvolution",2
"HGIN 11","HGIN","macrophages",4.607589,"DSP cell deconvolution",2
"HGIN 12","HGIN","macrophages",2.61181497,"DSP cell deconvolution",2
"ESCC1","ESCC","macrophages",4.67509347,"DSP cell deconvolution",3
"ESCC2","ESCC","macrophages",2.59900913,"DSP cell deconvolution",3
"ESCC3","ESCC","macrophages",5.70821437,"DSP cell deconvolution",3
"ESCC4","ESCC","macrophages",6.92289084,"DSP cell deconvolution",3
"ESCC5","ESCC","macrophages",5.54718459,"DSP cell deconvolution",3
"ESCC6","ESCC","macrophages",2.49730578,"DSP cell deconvolution",3
"ESCC7","ESCC","macrophages",8.67073045,"DSP cell deconvolution",3
"NE 1","NE","macrophages_m0",0,"DSP macrophage subtype",0
"NE 2","NE","macrophages_m0",0,"DSP macrophage subtype",0
"NE 3","NE","macrophages_m0",0,"DSP macrophage subtype",0
"NE 4","NE","macrophages_m0",0,"DSP macrophage subtype",0
"NE 5","NE","macrophages_m0",0,"DSP macrophage subtype",0
"NE 6","NE","macrophages_m0",0.0010467165666708,"DSP macrophage subtype",0
"NE 7","NE","macrophages_m0",0,"DSP macrophage subtype",0
"NE 8","NE","macrophages_m0",0,"DSP macrophage subtype",0
"NE 9","NE","macrophages_m0",0.042134795272936,"DSP macrophage subtype",0
"NE 10","NE","macrophages_m0",0,"DSP macrophage subtype",0
"NE 11","NE","macrophages_m0",0,"DSP macrophage subtype",0
"LGIN 1","LGIN","macrophages_m0",0,"DSP macrophage subtype",1
"LGIN 2","LGIN","macrophages_m0",0,"DSP macrophage subtype",1
"LGIN 3","LGIN","macrophages_m0",0.0231425989275284,"DSP macrophage subtype",1
"LGIN 4","LGIN","macrophages_m0",0,"DSP macrophage subtype",1
"LGIN 5","LGIN","macrophages_m0",0,"DSP macrophage subtype",1
"LGIN 6","LGIN","macrophages_m0",0,"DSP macrophage subtype",1
"LGIN 7","LGIN","macrophages_m0",0.0428619728928978,"DSP macrophage subtype",1
"LGIN 8","LGIN","macrophages_m0",0.0926209485580185,"DSP macrophage subtype",1
"LGIN 9","LGIN","macrophages_m0",0.0586261242355402,"DSP macrophage subtype",1
"LGIN 10","LGIN","macrophages_m0",0,"DSP macrophage subtype",1
"LGIN 11","LGIN","macrophages_m0",0,"DSP macrophage subtype",1
"LGIN 12","LGIN","macrophages_m0",0.0179677193250669,"DSP macrophage subtype",1
"HGIN 1","HGIN","macrophages_m0",0,"DSP macrophage subtype",2
"HGIN 2","HGIN","macrophages_m0",0,"DSP macrophage subtype",2
"HGIN 3","HGIN","macrophages_m0",0.042305055756708,"DSP macrophage subtype",2
"HGIN 4","HGIN","macrophages_m0",0.01105319680133,"DSP macrophage subtype",2
"HGIN 5","HGIN","macrophages_m0",0.00762264430528497,"DSP macrophage subtype",2
"HGIN 6","HGIN","macrophages_m0",0.00902368616830768,"DSP macrophage subtype",2
"HGIN 7","HGIN","macrophages_m0",0,"DSP macrophage subtype",2
"HGIN 8","HGIN","macrophages_m0",0,"DSP macrophage subtype",2
"HGIN 9","HGIN","macrophages_m0",0.0205785512894887,"DSP macrophage subtype",2
"HGIN 10","HGIN","macrophages_m0",0.0357944398652154,"DSP macrophage subtype",2
"HGIN 11","HGIN","macrophages_m0",0.0308826372310151,"DSP macrophage subtype",2
"HGIN 12","HGIN","macrophages_m0",0,"DSP macrophage subtype",2
"ESCC1","ESCC","macrophages_m0",0.0169645041364752,"DSP macrophage subtype",3
"ESCC2","ESCC","macrophages_m0",0.194892806528136,"DSP macrophage subtype",3
"ESCC3","ESCC","macrophages_m0",0.134304361217715,"DSP macrophage subtype",3
"ESCC4","ESCC","macrophages_m0",0.0632326035808854,"DSP macrophage subtype",3
"ESCC5","ESCC","macrophages_m0",0.00896452727794239,"DSP macrophage subtype",3
"ESCC6","ESCC","macrophages_m0",0.141635766479614,"DSP macrophage subtype",3
"ESCC7","ESCC","macrophages_m0",0.189660136499045,"DSP macrophage subtype",3
"NE","NE","macrophages_m0",0.0039255919854188,"DSP macrophage subtype",0
"LGIN","LGIN","macrophages_m0",0.0196016136615877,"DSP macrophage subtype",1
"HGIN","HGIN","macrophages_m0",0.0131050176181125,"DSP macrophage subtype",2
"ESCC","ESCC","macrophages_m0",0.107093529388545,"DSP macrophage subtype",3
"NE 1","NE","macrophages_m1",0,"DSP macrophage subtype",0
"NE 2","NE","macrophages_m1",0.0645693116859387,"DSP macrophage subtype",0
"NE 3","NE","macrophages_m1",0.270221097939725,"DSP macrophage subtype",0
"NE 4","NE","macrophages_m1",0,"DSP macrophage subtype",0
"NE 5","NE","macrophages_m1",0.0600350864202417,"DSP macrophage subtype",0
"NE 6","NE","macrophages_m1",0.062835511695899,"DSP macrophage subtype",0
"NE 7","NE","macrophages_m1",0.101550028273489,"DSP macrophage subtype",0
"NE 8","NE","macrophages_m1",0.137984707945008,"DSP macrophage subtype",0
"NE 9","NE","macrophages_m1",0.17211763596547,"DSP macrophage subtype",0
"NE 10","NE","macrophages_m1",0.0489196396118868,"DSP macrophage subtype",0
"NE 11","NE","macrophages_m1",0.0697943367159029,"DSP macrophage subtype",0
"LGIN 1","LGIN","macrophages_m1",0.057558166279084,"DSP macrophage subtype",1
"LGIN 2","LGIN","macrophages_m1",0.00611880674785243,"DSP macrophage subtype",1
"LGIN 3","LGIN","macrophages_m1",0.120313890639767,"DSP macrophage subtype",1
"LGIN 4","LGIN","macrophages_m1",0.0616235728818444,"DSP macrophage subtype",1
"LGIN 5","LGIN","macrophages_m1",0.0626857314515296,"DSP macrophage subtype",1
"LGIN 6","LGIN","macrophages_m1",0.0708245036529024,"DSP macrophage subtype",1
"LGIN 7","LGIN","macrophages_m1",0.0584895183704533,"DSP macrophage subtype",1
"LGIN 8","LGIN","macrophages_m1",0.119304306142755,"DSP macrophage subtype",1
"LGIN 9","LGIN","macrophages_m1",0.133151249940732,"DSP macrophage subtype",1
"LGIN 10","LGIN","macrophages_m1",0.155006561824323,"DSP macrophage subtype",1
"LGIN 11","LGIN","macrophages_m1",0.0865819235084063,"DSP macrophage subtype",1
"LGIN 12","LGIN","macrophages_m1",0.073182027909657,"DSP macrophage subtype",1
"HGIN 1","HGIN","macrophages_m1",0.0472733033032984,"DSP macrophage subtype",2
"HGIN 2","HGIN","macrophages_m1",0.0462485560512127,"DSP macrophage subtype",2
"HGIN 3","HGIN","macrophages_m1",0.031221424485766,"DSP macrophage subtype",2
"HGIN 4","HGIN","macrophages_m1",0.049667038752361,"DSP macrophage subtype",2
"HGIN 5","HGIN","macrophages_m1",0.058851175974762,"DSP macrophage subtype",2
"HGIN 6","HGIN","macrophages_m1",0.0445177827516554,"DSP macrophage subtype",2
"HGIN 7","HGIN","macrophages_m1",0.0606389165241925,"DSP macrophage subtype",2
"HGIN 8","HGIN","macrophages_m1",0.0508727975923737,"DSP macrophage subtype",2
"HGIN 9","HGIN","macrophages_m1",0.0529255635241812,"DSP macrophage subtype",2
"HGIN 10","HGIN","macrophages_m1",0.0414982799601505,"DSP macrophage subtype",2
"HGIN 11","HGIN","macrophages_m1",0.0616575007948545,"DSP macrophage subtype",2
"HGIN 12","HGIN","macrophages_m1",0.072360590922555,"DSP macrophage subtype",2
"ESCC1","ESCC","macrophages_m1",0.0537536604743339,"DSP macrophage subtype",3
"ESCC2","ESCC","macrophages_m1",0.102384021580263,"DSP macrophage subtype",3
"ESCC3","ESCC","macrophages_m1",0.0865452428462413,"DSP macrophage subtype",3
"ESCC4","ESCC","macrophages_m1",0.22899275112286,"DSP macrophage subtype",3
"ESCC5","ESCC","macrophages_m1",0.093951055015626,"DSP macrophage subtype",3
"ESCC6","ESCC","macrophages_m1",0.0715142584961185,"DSP macrophage subtype",3
"ESCC7","ESCC","macrophages_m1",0.0728686395232795,"DSP macrophage subtype",3
"NE","NE","macrophages_m1",0.0898206687503238,"DSP macrophage subtype",0
"LGIN","LGIN","macrophages_m1",0.0837366882791088,"DSP macrophage subtype",1
"HGIN","HGIN","macrophages_m1",0.0514777442197802,"DSP macrophage subtype",2
"ESCC","ESCC","macrophages_m1",0.101429947008389,"DSP macrophage subtype",3
"NE 1","NE","macrophages_m2",0.250851844644219,"DSP macrophage subtype",0
"NE 2","NE","macrophages_m2",0.0233850574853747,"DSP macrophage subtype",0
"NE 3","NE","macrophages_m2",0,"DSP macrophage subtype",0
"NE 4","NE","macrophages_m2",0,"DSP macrophage subtype",0
"NE 5","NE","macrophages_m2",0.0257319130023278,"DSP macrophage subtype",0
"NE 6","NE","macrophages_m2",0,"DSP macrophage subtype",0
